tract,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
17031062900,60614,0.002395267,0.008995502,0.003923877,0.002908268
17031062900,60657,0.044156773,0.025530385,0.066269165,0.045618045
17031063000,60614,0.002802462,0.008245877,0.006670591,0.003493961
17031063000,60657,0.042457576,0.090255304,0.074616695,0.048484394
17031063100,60657,0.034408746,0.038475369,0.058432709,0.037262543
17031063200,60657,0.115768999,0.034519957,0.043611584,0.103600734
17031063301,60657,0.037337626,0.016540813,0.023850085,0.034770879
17031063301,60614,0.00888644,0.006746627,0.002746714,0.008139112
17031063302,60657,0.070740269,0.035239123,0.022827939,0.063621717
17031063302,60614,0.007401375,0.005247376,0.002746714,0.006806156
17031063303,60614,0,0,0.000196194,0.000020196
17031063303,60657,0.025130235,0.00503416,0.001192504,0.021450785
17031063400,60614,0.002946178,0.01011994,0.000980969,0.003130428
17031063400,60657,0.027679031,0.05106077,0.0560477,0.032016936
17031070101,60614,0.073582601,0.02886057,0.022562292,0.06592075
17031070102,60614,0.048576014,0.066716642,0.029036688,0.047542109
17031070103,60614,0.034467891,0.014992504,0.017461252,0.031667811
17031070200,60614,0.055977389,0.057721139,0.075142241,0.05804419
17031070300,60614,0.090876428,0.152923538,0.082401413,0.093347336
17031070400,60614,0.04172555,0.041604198,0.051795174,0.042755584
17031070500,60614,0.035569714,0.013493253,0.041004512,0.034939613
17031070600,60614,0.035114614,0.028110945,0.046105552,0.035868643
17031070700,60647,0.014642008,0.001727116,0.013273602,0.013639658
17031070700,60614,0.035018803,0.046476762,0.043751226,0.036535121
17031071000,60614,0.029892932,0.031109445,0.05670002,0.032718019
17031071100,60614,0.036240389,0.049850075,0.052579949,0.038655734
17031071200,60614,0.027138375,0.040854573,0.03472631,0.028658561
17031071300,60614,0.051570097,0.023238381,0.076907985,0.052651775
17031071400,60614,0.097870608,0.04197901,0.042574063,0.0891667
17031071500,60614,0.102756952,0.04910045,0.060231509,0.095488145
17031071500,60610,0.004217291,0.006849315,0.004458599,0.004356639
17031071600,60614,0.019449568,0.003373313,0.027270944,0.019388456
17031071700,60610,0.000401647,0,0.005732484,0.000635343
17031071700,60614,0.018012407,0.004872564,0.020011772,0.017510199
17031071800,60614,0.031210328,0.022113943,0.042574063,0.031889971
17031071800,60610,0,0.00124533,0.002547771,0.000181527
17031080100,60610,0.156608763,0.046699875,0.105732484,0.148851844
17031080201,60610,0.093048164,0.037982565,0.061146497,0.08885729
17031080202,60610,0.099809218,0.055417186,0.058598726,0.095694793
17031080300,60610,0.107708271,0.141967621,0.233757962,0.115360179
17031080400,60610,0.070120829,0.063511831,0.177707006,0.074909993
