CensusTract,State,County,Urban,POP2010,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LAPOP1_10,LALOWI1_10,LALOWI05_10,LALOWI1_20,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031823400,Illinois,Cook,1,5052,1753,20,0.0039588,1,24.2,52750,1.914492846,0.75458616,533.8150639,0.75458616,106.8992414,0.060980742,2505,1423,456,2343,1151,61,38,51,1408,2277,146,365
17031823603,Illinois,Cook,1,2702,709,24,0.0088823,1,37.7,39115,634.6884894,373.3814235,1706.686431,373.3814235,178.9708736,0.252427184,1464,980,216,783,1315,3,0,16,585,1263,66,156
17031823806,Illinois,Cook,1,3716,1662,0,0,1,10.7,57273,1134.332843,379.2259188,1275.460637,379.2259188,214.6809241,0.129170231,1274,703,572,3290,117,82,0,3,224,391,149,216
17031824116,Illinois,Cook,1,4718,1946,0,0,1,9.6,53967,857.0341193,186.1960172,1001.492807,186.1960172,164.116074,0.084335084,1696,1017,747,4200,73,174,3,6,262,581,50,249
17031824300,Illinois,Cook,1,4814,1613,401,0.0832987,1,32.8,46250,1882.197889,896.9207887,2295.976635,896.9207887,531.8498743,0.329727138,2478,1254,723,316,4269,5,0,19,205,380,397,681
17031824702,Illinois,Cook,1,5607,1889,101,0.0180132,1,21.2,71766,619.7212981,151.626655,1487.013606,151.626655,248.8858012,0.131755321,1829,1541,544,3680,957,46,0,27,897,1441,160,292
17031824800,Illinois,Cook,1,7756,2262,0,0,1,20,39900,10.97117403,6.647963777,2850.695745,6.647963777,312.2736507,0.138052012,4850,2560,553,3817,1861,49,6,40,1983,4110,324,497
17031825503,Illinois,Cook,1,6608,2366,0,0,1,20.1,68355,238.8390719,120.061577,792.2108772,120.061577,184.4333508,0.077951543,2772,1722,846,1249,5086,36,0,9,228,254,128,550
17031825505,Illinois,Cook,1,5525,1778,117,0.0211765,1,21.4,54955,374.5282857,146.4743309,1268.01309,146.4743309,78.66761028,0.044245,2094,1525,611,589,4733,66,0,10,127,125,44,127
17031825600,Illinois,Cook,1,5627,1778,6,0.0010663,1,29.9,43438,23.95383152,12.37614642,1987.308456,12.37614642,281.9307588,0.158566231,2839,1703,681,868,4415,68,5,17,254,318,250,432
